# IPTV源文件 - 生成时间: 2026-01-14 02:47:37
# 源URL: https://raw.githubusercontent.com/FGBLH/FG/refs/heads/main/斯瑪特直播源1, https://raw.githubusercontent.com/FGBLH/FG/refs/heads/main/%E6%B5%B7%E8%A7%92%E7%A4%BE%E5%8C%BA%E5%8D%9A%E4%B8%BB(%E5%85%8D%E7%95%AA%E5%BC%BA)
# ==================================================

📽电影频道,#genre#
Now星影台(粤),http://74.91.26.218:82/live/nowxy.m3u8
Now星影台(粤),https://stream1.freetv.fun/b56bee75906bfad78f50f3eccffccdc4ed2dfe763f4fd01135948baae9af8e35.m3u8
华数电影1080p,http://hmfs.f3322.net:3388/hls/40/index.m3u8
CCTV-6 電影,http://96.44.160.246:9999/smt.php?id=cctv6
HBO_HD,http://96.44.160.246:9999/smt.php?id=hbohd_twn
HBO_HITS,http://96.44.160.246:9999/smt.php?id=hbohits_twn
HBO Signature Taiwan,http://96.44.160.246:9999/smt.php?id=hbosignature_twn
Hollywood Movies,http://96.44.160.246:9999/smt.php?id=hollywoodmovies_twn
AXN Taiwan,http://96.44.160.246:9999/smt.php?id=axn_twn
CINEMAX,http://96.44.160.246:9999/smt.php?id=cinemax_twn
Cinemax,http://96.44.160.246:9999/smt.php?id=Cinemax
大爱2台,http://96.44.160.246:9999/smt.php?id=daai2_twn
东森电影 ETTV Movie,http://96.44.160.246:9999/smt.php?id=ettvmovie
东森洋片 ETTV Western,http://96.44.160.246:9999/smt.php?id=ettvwestern
龙华洋片 Lunghua Western,http://96.44.160.246:9999/smt.php?id=lunghuawestern_twn
Animax,http://96.44.160.246:9999/smt.php?id=Animax
龙详时代,http://96.44.160.246:9999/smt.php?id=lungxiangtime_twn
Movies Now HD,http://96.44.160.246:9999/smt.php?id=moviesnow_raj
Star Movies HD,http://96.44.160.246:9999/smt.php?id=starmovies_raj
卫视中文台 Star Movies Chinese,http://96.44.160.246:9999/smt.php?id=weishichinese_twn
Hits,http://96.44.160.246:9999/smt.php?id=Hits
Warner TV,http://96.44.160.246:9999/smt.php?id=WarnerTV
美亚电影,http://96.44.160.246:9999/smt.php?id=meiyamovie_twn
SCM,http://96.44.160.246:9999/smt.php?id=Weishimovie
Thrill,http://96.44.160.246:9999/smt.php?id=Thrill
HBO Family,http://96.44.160.246:9999/smt.php?id=Hbofamily
Axn HD,http://96.44.160.246:9999/smt.php?id=Axn
HBO HD,http://96.44.160.246:9999/smt.php?id=Hbo
HBO Signature,http://96.44.160.246:9999/smt.php?id=Hbosignature
HBO Hits,http://96.44.160.246:9999/smt.php?id=Hbohitshd
Dreamworks,http://96.44.160.246:9999/smt.php?id=Dreamworks
Hits Movie,http://96.44.160.246:9999/smt.php?id=Hitsmovie
tvN Movie,http://96.44.160.246:9999/smt.php?id=Tvnmovie
Astrol Kplus,http://96.44.160.246:9999/smt.php?id=Kplus
One,http://96.44.160.246:9999/smt.php?id=One
天映頻道Celestial Movies,http://96.44.160.246:9999/smt.php?id=Celestialindo
Celestial Classic,http://96.44.160.246:9999/smt.php?id=Celestial2
Rock Actions,http://96.44.160.246:9999/smt.php?id=Rockaction
Rock Entertainment,http://96.44.160.246:9999/smt.php?id=Rockentertain

📺新闻频道,#genre#
ABC News,http://96.44.160.246:9999/smt.php?id=abcnews_glo
iNews 互動新聞台,http://96.44.160.246:9999/smt.php?id=inews_twn
CBS HD,http://96.44.160.246:9999/smt.php?id=cbshd_glo
CBSN HD,http://96.44.160.246:9999/smt.php?id=cbsn_glo
CGTN,http://96.44.160.246:9999/smt.php?id=CGTN
DW (Deutsch),http://96.44.160.246:9999/smt.php?id=dw_twn
Fox News,http://96.44.160.246:9999/smt.php?id=foxnews_twn
NHK World,http://96.44.160.246:9999/smt.php?id=nhkworld_japan
TVBS News 新聞台,http://96.44.160.246:9999/smt.php?id=tvbs_n
Al-Jazeera,http://96.44.160.246:9999/smt.php?id=aljazeera_twn
Bloomberg News,http://96.44.160.246:9999/smt.php?id=bloomberg_twn
東森新聞 ETTV News,http://96.44.160.246:9999/smt.php?id=ettvnews
東森財經新聞 ETTV Business,http://96.44.160.246:9999/smt.php?id=ettvcaijing_twn
中天新聞 CTI News,http://96.44.160.246:9999/smt.php?id=ctinews
非凡新聞台,http://96.44.160.246:9999/smt.php?id=feifannews_twn
台視新聞台 TTV News,http://96.44.160.246:9999/smt.php?id=ttvnews_twn
民視新聞台 FTV News,http://96.44.160.246:9999/smt.php?id=ftvnew_taiwan
Al_Jazeera,http://96.44.160.246:9999/smt.php?id=Aljazeera
寰宇新聞台,http://96.44.160.246:9999/smt.php?id=huanyuxinwen_twn
中視新聞台,http://96.44.160.246:9999/smt.php?id=zhongshinews_twn
CNN,http://96.44.160.246:9999/smt.php?id=Cnn
CNN backup,http://96.44.160.246:9999/smt.php?id=cnn_twn
BBC World News,http://96.44.160.246:9999/smt.php?id=Bbcnews
BBC World News,http://96.44.160.246:9999/smt.php?id=Bbcnews
CNBC,http://96.44.160.246:9999/smt.php?id=Cnbc
Bloomberg TV,http://96.44.160.246:9999/smt.php?id=Bloomberg
CNA,http://96.44.160.246:9999/smt.php?id=cna
DW,http://96.44.160.246:9999/smt.php?id=Dw
France 24,http://96.44.160.246:9999/smt.php?id=france24_twn
France 24,http://96.44.160.246:9999/smt.php?id=France24
Skynews,http://96.44.160.246:9999/smt.php?id=Skynews
Skynews,http://96.44.160.246:9999/smt.php?id=skynews_twn
NHK Premium,http://96.44.160.246:9999/smt.php?id=NHKpremium

⛹️‍体育,#genre#
Astro PL 1,http://96.44.160.246:9999/smt.php?id=Assp1
Astro PL 1 (Back Up 1),http://96.44.160.246:9999/smt.php?id=go_assp1
Astro PL 1 (Back Up 2),http://96.44.160.246:9999/smt.php?id=go_assp1x
Astro W-Sports,http://96.44.160.246:9999/smt.php?id=go_assp5
